Ingles,Español,Etiqueta
dog,perro,sustantivo
cat,gato,sustantivo
house,casa,sustantivo
car,coche,sustantivo
tree,árbol,sustantivo
apple,manzana,sustantivo
table,mesa,sustantivo
chair,silla,sustantivo
water,agua,sustantivo
fire,fuego,sustantivo
sun,sol,sustantivo
moon,luna,sustantivo
earth,tierra,sustantivo
air,aire,sustantivo
flower,flor,sustantivo
book,libro,sustantivo
pen,pluma,sustantivo
paper,papel,sustantivo
train,tren,sustantivo
plane,avión,sustantivo
sea,mar,sustantivo
river,río,sustantivo
mountain,montaña,sustantivo
city,ciudad,sustantivo
country,país,sustantivo
friend,amigo,sustantivo
love,amor,sustantivo
hate,odio,sustantivo
happy,feliz,adjetivo
sad,triste,adjetivo
big,grande,adjetivo
small,pequeño,adjetivo
fast,rápido,adjetivo
slow,lento,adjetivo
hot,caliente,adjetivo
cold,frío,adjetivo
white,blanco,adjetivo
black,negro,adjetivo
red,rojo,adjetivo
blue,azul,adjetivo
green,verde,adjetivo
yellow,amarillo,adjetivo
orange,naranja,adjetivo
purple,morado,adjetivo
pink,rosa,adjetivo
gray,gris,adjetivo
brown,marrón,adjetivo
baby,bebé,sustantivo
child,niño,sustantivo
man,hombre,sustantivo
woman,mujer,sustantivo
father,padre,sustantivo
mother,madre,sustantivo
brother,hermano,sustantivo
sister,hermana,sustantivo
grandfather,abuelo,sustantivo
grandmother,abuela,sustantivo
food,comida,sustantivo
drink,bebida,sustantivo
dinner,cena,sustantivo
breakfast,desayuno,sustantivo
lunch,almuerzo,sustantivo
school,escuela,sustantivo
teacher,maestro,sustantivo
student,estudiante,sustantivo
computer,computadora,sustantivo
phone,teléfono,sustantivo
television,televisión,sustantivo
music,música,sustantivo
movie,película,sustantivo
art,arte,sustantivo
science,ciencia,sustantivo
history,historia,sustantivo
geography,geografía,sustantivo
mathematics,matemáticas,sustantivo
literature,literatura,sustantivo
physics,física,sustantivo
chemistry,química,sustantivo
biology,biología,sustantivo
medicine,medicina,sustantivo
hello,hola,interjección
wave,ola,interjección
horse,caballo,sustantivo
red,roja,adjetivo
feo,ugly,adjetivo
botella,bottle,sustantivo
mundo,world,sustantivo
run,correr,verbo
jump,saltar,verbo
eat,comer,verbo
drink,beber,verbo
read,leer,verbo
write,escribir,verbo
sing,cantar,verbo
dance,bailar,verbo
sleep,dormir,verbo
speak,hable,verbo
I,yo,pronombre
you,tu,pronombre
he,él,pronombre
she,ella,pronombre
it,eso,pronombre
we,nosotros,pronombre
they,ellos,pronombre
me,me,pronombre
you,tu,pronombre
him,le,pronombre
quickly,rápidamente,adverbio
slowly,lentamente,adverbio
happily,felizmente,adverbio
sadly,tristemente,adverbio
silently,silenciosamente,adverbio
loudly,en voz alta,adverbio
always,siempre,adverbio
never,nunca,adverbio
sometimes,a veces,adverbio
often,a menudo,adverbio
in,en,preposición
on,en,preposición
from,de,preposición
with,con,preposición
for,para,preposición
by,por,preposición
about,sobre,preposición
against,contra,preposición
during,durante,preposición
an,un,artículo
some,algunos,artículo
any,cualquier,artículo
this,este,artículo
that,ese,artículo
these,estos,artículo
those,aquellos,artículo
and,y,conjunción
but,pero,conjunción
or,o,conjunción
so,así que,conjunción
for,porque,conjunción
nor,ni,conjunción
yet,sin embargo,conjunción
so,entonces,conjunción
although,aunque,conjunción
since,desde,conjunción
duermo,sleep,verbo
mucho,a lot,adverbio
is,esta,adverbio
is,es,adverbio
el,the,articulo
la,the,articulo
the,la,articulo
techo,roof,sustantivo
mi,my,posesivo
ama,loves,verbo
a su,her,posesivo
shining,brillando,adjetivo
profesor,Teacher,sustantivo
mochila,backpack,sustantivo
morada,purple,adjetivo
red,roja,adjetivo
plays,juega,verbo
lot,mucho,adjetivo
carro,car,sustantivo
bonito,beautiful,adjetivo
ballena,whale,sustantivo
barro,mud,
cafe,brown,adjetivo
camion,bus,sustantivo
arcoiris,rainbow,sustantivo
unicornios,unicorn,sustantivo
azules,blue,adjetivo
